ISBN;Book-Title;Book-Author;Year-Of-Publication;Image-URL-S;;;
195153448;Classical Mythology;Mark P. O. Morford;2002;http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg;;;
2005018;Clara Callan;Richard Bruce Wright;2001;http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg;;;
60973129;Decision in Normandy;Carlo D'Este;1991;http://images.amazon.com/images/P/0060973129.01.THUMBZZZ.jpg;;;
374157065;Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It;Gina Bari Kolata;1999;http://images.amazon.com/images/P/0374157065.01.THUMBZZZ.jpg;;;
393045218;The Mummies of Urumchi;E. J. W. Barber;1999;http://images.amazon.com/images/P/0393045218.01.THUMBZZZ.jpg;;;
399135782;The Kitchen God's Wife;Amy Tan;1991;http://images.amazon.com/images/P/0399135782.01.THUMBZZZ.jpg;;;
425176428;What If?: The World's Foremost Military Historians Imagine What Might Have Been;Robert Cowley;2000;http://images.amazon.com/images/P/0425176428.01.THUMBZZZ.jpg;;;
671870432;PLEADING GUILTY;Scott Turow;1993;http://images.amazon.com/images/P/0671870432.01.THUMBZZZ.jpg;;;
679425608;Under the Black Flag: The Romance and the Reality of Life Among the Pirates;David Cordingly;1996;http://images.amazon.com/images/P/0679425608.01.THUMBZZZ.jpg;;;
074322678X;Where You'll Find Me: And Other Stories;Ann Beattie;2002;http://images.amazon.com/images/P/074322678X.01.THUMBZZZ.jpg;;;
771074670;Nights Below Station Street;David Adams Richards;1988;http://images.amazon.com/images/P/0771074670.01.THUMBZZZ.jpg;;;
080652121X;Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust;Adam Lebor;2000;http://images.amazon.com/images/P/080652121X.01.THUMBZZZ.jpg;;;
887841740;The Middle Stories;Sheila Heti;2004;http://images.amazon.com/images/P/0887841740.01.THUMBZZZ.jpg;;;
1552041778;Jane Doe;R. J. Kaiser;1999;http://images.amazon.com/images/P/1552041778.01.THUMBZZZ.jpg;;;
1558746218;A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series);Jack Canfield;1998;http://images.amazon.com/images/P/1558746218.01.THUMBZZZ.jpg;;;
1567407781;The Witchfinder (Amos Walker Mystery Series);Loren D. Estleman;1998;http://images.amazon.com/images/P/1567407781.01.THUMBZZZ.jpg;;;
1575663937;More Cunning Than Man: A Social History of Rats and Man;Robert Hendrickson;1999;http://images.amazon.com/images/P/1575663937.01.THUMBZZZ.jpg;;;
1881320189;Goodbye to the Buttermilk Sky;Julia Oliver;1994;http://images.amazon.com/images/P/1881320189.01.THUMBZZZ.jpg;;;
440234743;The Testament;John Grisham;1999;http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg;;;
452264464;Beloved (Plume Contemporary Fiction);Toni Morrison;1994;http://images.amazon.com/images/P/0452264464.01.THUMBZZZ.jpg;;;
609804618;Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source;The Onion;1999;http://images.amazon.com/images/P/0609804618.01.THUMBZZZ.jpg;;;
1841721522;New Vegetarian: Bold and Beautiful Recipes for Every Occasion;Celia Brooks Brown;2001;http://images.amazon.com/images/P/1841721522.01.THUMBZZZ.jpg;;;
1879384493;If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself;J. R. Parrish;2003;http://images.amazon.com/images/P/1879384493.01.THUMBZZZ.jpg;;;
61076031;"Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in)";"Mary-Kate &amp; Ashley Olsen";2000;http://images.amazon.com/images/P/0061076031.01.THUMBZZZ.jpg;;;
439095026;Tell Me This Isn't Happening;Robynn Clairday;1999;http://images.amazon.com/images/P/0439095026.01.THUMBZZZ.jpg;;;
689821166;Flood : Mississippi 1927;Kathleen Duey;1998;http://images.amazon.com/images/P/0689821166.01.THUMBZZZ.jpg;;;
971880107;Wild Animus;Rich Shapero;2004;http://images.amazon.com/images/P/0971880107.01.THUMBZZZ.jpg;;;
345402871;Airframe;Michael Crichton;1997;http://images.amazon.com/images/P/0345402871.01.THUMBZZZ.jpg;;;
345417623;Timeline;MICHAEL CRICHTON;2000;http://images.amazon.com/images/P/0345417623.01.THUMBZZZ.jpg;;;
684823802;OUT OF THE SILENT PLANET;C.S. Lewis;1996;http://images.amazon.com/images/P/0684823802.01.THUMBZZZ.jpg;;;
425163091;Chocolate Jesus;Stephan Jaramillo;1998;http://images.amazon.com/images/P/0425163091.01.THUMBZZZ.jpg;;;
375759778;Prague : A Novel;ARTHUR PHILLIPS;2003;http://images.amazon.com/images/P/0375759778.01.THUMBZZZ.jpg;;;
3404921038;Wie Barney es sieht.;Mordecai Richler;2002;http://images.amazon.com/images/P/3404921038.01.THUMBZZZ.jpg;;;
3442353866;Der Fluch der Kaiserin. Ein Richter- Di- Roman.;Eleanor Cooney;2001;http://images.amazon.com/images/P/3442353866.01.THUMBZZZ.jpg;;;
3442410665;Sturmzeit. Roman.;Charlotte Link;1991;http://images.amazon.com/images/P/3442410665.01.THUMBZZZ.jpg;;;
3442446937;Tage der Unschuld.;Richard North Patterson;2000;http://images.amazon.com/images/P/3442446937.01.THUMBZZZ.jpg;;;
375406328;Lying Awake;Mark Salzman;2000;http://images.amazon.com/images/P/0375406328.01.THUMBZZZ.jpg;;;
446310786;To Kill a Mockingbird;Harper Lee;1988;http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg;;;
449005615;Seabiscuit: An American Legend;LAURA HILLENBRAND;2002;http://images.amazon.com/images/P/0449005615.01.THUMBZZZ.jpg;;;
60168013;Pigs in Heaven;Barbara Kingsolver;1993;http://images.amazon.com/images/P/0060168013.01.THUMBZZZ.jpg;;;
038078243X;Miss Zukas and the Raven's Dance;Jo Dereske;1996;http://images.amazon.com/images/P/038078243X.01.THUMBZZZ.jpg;;;
055321215X;Pride and Prejudice;Jane Austen;1983;http://images.amazon.com/images/P/055321215X.01.THUMBZZZ.jpg;;;
067176537X;The Therapeutic Touch: How to Use Your Hands to Help or to Heal;Dolores Krieger;1979;http://images.amazon.com/images/P/067176537X.01.THUMBZZZ.jpg;;;
61099686;Downtown;Anne Rivers Siddons;1995;http://images.amazon.com/images/P/0061099686.01.THUMBZZZ.jpg;;;
553582909;Icebound;Dean R. Koontz;2000;http://images.amazon.com/images/P/0553582909.01.THUMBZZZ.jpg;;;
671888587;I'll Be Seeing You;Mary Higgins Clark;1994;http://images.amazon.com/images/P/0671888587.01.THUMBZZZ.jpg;;;
553582747;From the Corner of His Eye;Dean Koontz;2001;http://images.amazon.com/images/P/0553582747.01.THUMBZZZ.jpg;;;
425182908;Isle of Dogs;Patricia Cornwell;2002;http://images.amazon.com/images/P/0425182908.01.THUMBZZZ.jpg;;;
042518630X;Purity in Death;J.D. Robb;2002;http://images.amazon.com/images/P/042518630X.01.THUMBZZZ.jpg;;;
440223571;This Year It Will Be Different: And Other Stories;Maeve Binchy;1997;http://images.amazon.com/images/P/0440223571.01.THUMBZZZ.jpg;;;
812523873;Proxies;Laura J. Mixon;1999;http://images.amazon.com/images/P/0812523873.01.THUMBZZZ.jpg;;;
842342702;Left Behind: A Novel of the Earth's Last Days (Left Behind #1);Tim Lahaye;2000;http://images.amazon.com/images/P/0842342702.01.THUMBZZZ.jpg;;;
440225701;The Street Lawyer;JOHN GRISHAM;1999;http://images.amazon.com/images/P/0440225701.01.THUMBZZZ.jpg;;;
60914068;Love, Medicine and Miracles;M.D. Bernie S. Siegel;1988;http://images.amazon.com/images/P/0060914068.01.THUMBZZZ.jpg;;;
156047624;All the King's Men;Robert Penn Warren;1982;http://images.amazon.com/images/P/0156047624.01.THUMBZZZ.jpg;;;
245542957;Pacific Northwest;Hans Johannes Hoefer;1985;http://images.amazon.com/images/P/0245542957.01.THUMBZZZ.jpg;;;
380715899;A Soldier of the Great War;Mark Helprin;1992;http://images.amazon.com/images/P/0380715899.01.THUMBZZZ.jpg;;;
553280333;Getting Well Again;O. Carol Simonton Md;1992;http://images.amazon.com/images/P/0553280333.01.THUMBZZZ.jpg;;;
961769947;Northwest Wines and Wineries;Chuck Hill;1993;http://images.amazon.com/images/P/0961769947.01.THUMBZZZ.jpg;;;
964778319;An Atmosphere of Eternity: Stories of India;David Iglehart;2002;http://images.amazon.com/images/P/0964778319.01.THUMBZZZ.jpg;;;
671623249;LONESOME DOVE;Larry McMurtry;1986;http://images.amazon.com/images/P/0671623249.01.THUMBZZZ.jpg;;;
679810307;Shabanu: Daughter of the Wind (Border Trilogy);SUZANNE FISHER STAPLES;1991;http://images.amazon.com/images/P/0679810307.01.THUMBZZZ.jpg;;;
679865691;Haveli (Laurel Leaf Books);SUZANNE FISHER STAPLES;1995;http://images.amazon.com/images/P/0679865691.01.THUMBZZZ.jpg;;;
2070423204;Lieux dits;Michel Tournier;2002;http://images.amazon.com/images/P/2070423204.01.THUMBZZZ.jpg;;;
345260317;The Dragons of Eden: Speculations on the Evolution of Human Intelligence;Carl Sagan;1978;http://images.amazon.com/images/P/0345260317.01.THUMBZZZ.jpg;;;
394743741;The yawning heights;Aleksandr Zinoviev;1980;http://images.amazon.com/images/P/0394743741.01.THUMBZZZ.jpg;;;
042511774X;Breathing Lessons;Anne Tyler;1994;http://images.amazon.com/images/P/042511774X.01.THUMBZZZ.jpg;;;
804106304;The Joy Luck Club;Amy Tan;1994;http://images.amazon.com/images/P/0804106304.01.THUMBZZZ.jpg;;;
1853262404;Heart of Darkness (Wordsworth Collection);Joseph Conrad;1998;http://images.amazon.com/images/P/1853262404.01.THUMBZZZ.jpg;;;
312970242;The Angel Is Near;Deepak Chopra;2000;http://images.amazon.com/images/P/0312970242.01.THUMBZZZ.jpg;;;
1853260053;Tess of the D'Urbervilles (Wordsworth Classics);Thomas Hardy;1997;http://images.amazon.com/images/P/1853260053.01.THUMBZZZ.jpg;;;
1414035004;The Adventures of Drew and Ellie: The Magical Dress;Charles Noland;2003;http://images.amazon.com/images/P/1414035004.01.THUMBZZZ.jpg;;;
60938412;The Accidental Virgin;Valerie Frankel;2003;http://images.amazon.com/images/P/0060938412.01.THUMBZZZ.jpg;;;
140067477;The Tao of Pooh;Benjamin Hoff;1983;http://images.amazon.com/images/P/0140067477.01.THUMBZZZ.jpg;;;
345465083;Seabiscuit;LAURA HILLENBRAND;2003;http://images.amazon.com/images/P/0345465083.01.THUMBZZZ.jpg;;;
451625889;The Prince;Niccolo Machiavelli;1952;http://images.amazon.com/images/P/0451625889.01.THUMBZZZ.jpg;;;
1558531025;Life's Little Instruction Book (Life's Little Instruction Books (Paperback));H. Jackson Brown;1991;http://images.amazon.com/images/P/1558531025.01.THUMBZZZ.jpg;;;
441783589;Starship Troopers;Robert A. Heinlein;1987;http://images.amazon.com/images/P/0441783589.01.THUMBZZZ.jpg;;;
394895894;The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1);PHILIP PULLMAN;1988;http://images.amazon.com/images/P/0394895894.01.THUMBZZZ.jpg;;;
1569871213;Black Beauty (Illustrated Classics);Anna Sewell;1995;http://images.amazon.com/images/P/1569871213.01.THUMBZZZ.jpg;;;
375410538;Anil's Ghost;MICHAEL ONDAATJE;2000;http://images.amazon.com/images/P/0375410538.01.THUMBZZZ.jpg;;;
966986105;Prescription for Terror;Sandra Levy Ceren;1999;http://images.amazon.com/images/P/0966986105.01.THUMBZZZ.jpg;;;
087113375X;Modern Manners: An Etiquette Book for Rude People;P.J. O'Rourke;1990;http://images.amazon.com/images/P/087113375X.01.THUMBZZZ.jpg;;;
340767936;Turning Thirty;Mike Gayle;2000;http://images.amazon.com/images/P/0340767936.01.THUMBZZZ.jpg;;;
743403843;Decipher;Stel Pavlou;2002;http://images.amazon.com/images/P/0743403843.01.THUMBZZZ.jpg;;;
60930365;My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell;Sarah Payne Stuart;1999;http://images.amazon.com/images/P/0060930365.01.THUMBZZZ.jpg;;;
60177586;Standing Firm: A Vice-Presidential Memoir;Dan Quayle;1994;http://images.amazon.com/images/P/0060177586.01.THUMBZZZ.jpg;;;
71416331;Team Bush : Leadership Lessons from the Bush White House;Donald F. Kettl;2003;http://images.amazon.com/images/P/0071416331.01.THUMBZZZ.jpg;;;
375509038;The Right Man : The Surprise Presidency of George W. Bush;DAVID FRUM;2003;http://images.amazon.com/images/P/0375509038.01.THUMBZZZ.jpg;;;
553062042;Daybreakers Louis Lamour Collection;Louis Lamour;1981;http://images.amazon.com/images/P/0553062042.01.THUMBZZZ.jpg;;;
316769487;The Catcher in the Rye;J.D. Salinger;1991;http://images.amazon.com/images/P/0316769487.01.THUMBZZZ.jpg;;;
8445071408;El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish));J. R. R. Tolkien;2001;http://images.amazon.com/images/P/8445071408.01.THUMBZZZ.jpg;;;
8445071769;El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback));J. R. R. Tolkien;2001;http://images.amazon.com/images/P/8445071769.01.THUMBZZZ.jpg;;;
8445071777;El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.);J. R. R. Tolkien;2001;http://images.amazon.com/images/P/8445071777.01.THUMBZZZ.jpg;;;
679429220;Midnight in the Garden of Good and Evil: A Savannah Story;John Berendt;1994;http://images.amazon.com/images/P/0679429220.01.THUMBZZZ.jpg;;;
671867156;Pretend You Don't See Her;Mary Higgins Clark;1998;http://images.amazon.com/images/P/0671867156.01.THUMBZZZ.jpg;;;
312252617;Fast Women;Jennifer Crusie;2001;http://images.amazon.com/images/P/0312252617.01.THUMBZZZ.jpg;;;
312261594;Female Intelligence;Jane Heller;2001;http://images.amazon.com/images/P/0312261594.01.THUMBZZZ.jpg;;;
316748641;Pasquale's Nose: Idle Days in an Italian Town;Michael Rips;2002;http://images.amazon.com/images/P/0316748641.01.THUMBZZZ.jpg;;;
316973742;The Gospel of Judas: A Novel;Simon Mawer;2002;http://images.amazon.com/images/P/0316973742.01.THUMBZZZ.jpg;;;
385235941;Prize Stories, 1987: The O'Henry Awards;William Abrahams;1987;http://images.amazon.com/images/P/0385235941.01.THUMBZZZ.jpg;;;
446677450;Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!;Robert T. Kiyosaki;2000;http://images.amazon.com/images/P/0446677450.01.THUMBZZZ.jpg;;;
451166892;The Pillars of the Earth;Ken Follett;1996;http://images.amazon.com/images/P/0451166892.01.THUMBZZZ.jpg;;;
553347594;McDonald's: Behind the Arches;John F. Love;1995;http://images.amazon.com/images/P/0553347594.01.THUMBZZZ.jpg;;;
671621009;Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!;Robert G. Allen;1986;http://images.amazon.com/images/P/0671621009.01.THUMBZZZ.jpg;;;
067976397X;Corelli's Mandolin : A Novel;LOUIS DE BERNIERES;1995;http://images.amazon.com/images/P/067976397X.01.THUMBZZZ.jpg;;;
684822733;Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans;Pam Proctor;1996;http://images.amazon.com/images/P/0684822733.01.THUMBZZZ.jpg;;;
